movie_id,year,genres
1,1995,"[1, 2, 3]"
2,1995,"[4, 2, 5]"
3,1995,"[3, 6, 0]"
4,1995,"[3, 7, 0]"
5,1995,"[3, 0, 0]"
6,1995,"[8, 9, 10]"
7,1995,"[3, 6, 0]"
8,1995,"[4, 2, 0]"
9,1995,"[8, 0, 0]"
10,1995,"[8, 4, 10]"
11,1995,"[3, 7, 6]"
12,1995,"[3, 11, 0]"
13,1995,"[1, 2, 0]"
14,1995,"[7, 0, 0]"
15,1995,"[8, 4, 6]"
16,1995,"[7, 10, 0]"
17,1995,"[7, 6, 0]"
18,1995,"[10, 0, 0]"
19,1995,"[3, 0, 0]"
20,1995,"[8, 0, 0]"
21,1995,"[8, 3, 7]"
22,1995,"[9, 7, 10]"
23,1995,"[10, 0, 0]"
24,1995,"[7, 12, 0]"
25,1995,"[7, 6, 0]"
26,1995,"[7, 0, 0]"
27,1995,"[7, 0, 0]"
28,1995,"[6, 0, 0]"
29,1995,"[4, 12, 0]"
30,1995,"[7, 0, 0]"
31,1995,"[7, 0, 0]"
32,1995,"[7, 12, 0]"
33,1995,"[4, 6, 0]"
34,1995,"[2, 3, 7]"
35,1995,"[7, 6, 0]"
36,1995,"[7, 0, 0]"
37,1995,"[13, 0, 0]"
38,1995,"[3, 0, 0]"
39,1995,"[3, 6, 0]"
40,1995,"[7, 0, 0]"
41,1995,"[7, 14, 0]"
42,1995,"[8, 9, 7]"
43,1995,"[7, 0, 0]"
44,1995,"[8, 4, 0]"
45,1995,"[3, 7, 0]"
46,1995,"[7, 6, 0]"
47,1995,"[9, 10, 0]"
48,1995,"[1, 2, 15]"
49,1995,"[7, 6, 0]"
50,1995,"[9, 10, 0]"
51,1994,"[8, 7, 10]"
52,1995,"[3, 0, 0]"
53,1994,"[7, 0, 0]"
54,1995,"[2, 3, 0]"
55,1995,"[7, 0, 0]"
56,1995,"[4, 2, 5]"
57,1995,"[7, 0, 0]"
58,1994,"[7, 6, 0]"
59,1995,"[7, 16, 0]"
60,1995,"[4, 2, 5]"
61,1996,"[7, 10, 0]"
62,1995,"[7, 0, 0]"
63,1996,"[3, 0, 0]"
64,1996,"[3, 6, 0]"
65,1996,"[3, 0, 0]"
66,1996,"[12, 10, 0]"
67,1995,"[7, 0, 0]"
68,1995,"[3, 6, 0]"
69,1995,"[3, 0, 0]"
70,1996,"[8, 3, 9]"
71,1995,"[8, 0, 0]"
72,1995,"[3, 7, 0]"
73,1995,"[7, 15, 0]"
74,1996,"[7, 6, 0]"
75,1996,"[3, 7, 0]"
76,1995,"[12, 10, 0]"
77,1995,"[13, 0, 0]"
78,1995,"[7, 0, 0]"
79,1996,"[7, 10, 0]"
80,1995,"[7, 0, 0]"
81,1995,"[9, 7, 6]"
82,1995,"[7, 0, 0]"
83,1995,"[7, 0, 0]"
84,1995,"[3, 7, 0]"
85,1995,"[7, 6, 0]"
86,1996,"[4, 7, 0]"
87,1996,"[2, 3, 0]"
88,1996,"[3, 0, 0]"
89,1995,"[8, 10, 0]"
90,1995,"[7, 0, 0]"
92,1996,"[7, 10, 0]"
93,1995,"[3, 6, 0]"
94,1996,"[7, 0, 0]"
95,1996,"[8, 10, 0]"
96,1995,"[3, 0, 0]"
97,1995,"[7, 0, 0]"
98,1994,"[8, 10, 0]"
99,1995,"[13, 0, 0]"
100,1996,"[7, 10, 0]"
101,1996,"[3, 0, 0]"
102,1996,"[3, 0, 0]"
103,1996,"[10, 0, 0]"
104,1996,"[3, 0, 0]"
105,1995,"[7, 6, 0]"
106,1994,"[3, 7, 0]"
107,1996,"[4, 2, 3]"
108,1995,"[13, 0, 0]"
109,1995,"[3, 0, 0]"
110,1995,"[8, 7, 14]"
111,1976,"[7, 10, 0]"
112,1995,"[8, 4, 9]"
113,1996,"[7, 16, 0]"
114,1995,"[7, 0, 0]"
115,1995,"[3, 0, 0]"
116,1995,"[13, 0, 0]"
117,1995,"[9, 0, 0]"
118,1996,"[3, 6, 0]"
119,1995,"[3, 0, 0]"
120,1996,"[7, 0, 0]"
121,1993,"[7, 0, 0]"
122,1992,"[3, 6, 0]"
123,1994,"[7, 16, 6]"
124,1995,"[7, 0, 0]"
125,1996,"[3, 0, 0]"
126,1994,"[4, 2, 5]"
127,1994,"[7, 0, 0]"
128,1994,"[13, 0, 0]"
129,1995,"[3, 6, 0]"
130,1995,"[7, 0, 0]"
131,1995,"[7, 6, 0]"
132,1995,"[10, 0, 0]"
133,1995,"[3, 7, 0]"
134,1995,"[13, 0, 0]"
135,1996,"[3, 0, 0]"
136,1995,"[13, 0, 0]"
137,1995,"[13, 0, 0]"
138,1995,"[7, 0, 0]"
139,1995,"[8, 7, 0]"
140,1996,"[7, 6, 0]"
141,1996,"[3, 0, 0]"
142,1988,"[7, 0, 0]"
143,1995,"[7, 0, 0]"
144,1995,"[3, 0, 0]"
145,1995,"[8, 0, 0]"
